,model,bs,seq_len,speed
0,albert-base-v2,1,32,0.04613971710205078
1,bert-base-uncased,1,32,0.03813624382019043
2,distilgpt2,1,32,0.020547151565551758
3,distilroberta-base,1,32,0.019800424575805664
4,EleutherAI/gpt-neo-125M,1,32,0.038916826248168945
5,facebook/muppet-roberta-base,1,32,0.038191795349121094
6,funnel-transformer/medium-base,1,32,0.05526900291442871
7,funnel-transformer/small-base,1,32,0.04123353958129883
8,google/bigbird-roberta-base,1,32,0.11912155151367188
9,google/electra-base-discriminator,1,32,0.04073596000671387
10,google/mobilebert-uncased,1,32,0.028531789779663086
11,gpt2,1,32,0.03862404823303223
12,microsoft/deberta-v3-base,1,32,0.0674443244934082
13,roberta-base,1,32,0.03945279121398926
14,squeezebert/squeezebert-uncased,1,32,0.030073881149291992
15,albert-base-v2,1,64,0.03692960739135742
16,bert-base-uncased,1,64,0.04636812210083008
17,distilgpt2,1,64,0.024356365203857422
18,distilroberta-base,1,64,0.022591590881347656
19,EleutherAI/gpt-neo-125M,1,64,0.04477238655090332
20,facebook/muppet-roberta-base,1,64,0.04676985740661621
21,funnel-transformer/medium-base,1,64,0.07013845443725586
22,funnel-transformer/small-base,1,64,0.05326986312866211
23,google/bigbird-roberta-base,1,64,0.13036346435546875
24,google/electra-base-discriminator,1,64,0.04623866081237793
25,google/mobilebert-uncased,1,64,0.03990602493286133
26,gpt2,1,64,0.050460100173950195
27,microsoft/deberta-v3-base,1,64,0.07644057273864746
28,roberta-base,1,64,0.04355764389038086
29,squeezebert/squeezebert-uncased,1,64,0.03497815132141113
30,albert-base-v2,1,128,0.052155494689941406
31,bert-base-uncased,1,128,0.05561518669128418
32,distilgpt2,1,128,0.030836105346679688
33,distilroberta-base,1,128,0.027222871780395508
34,EleutherAI/gpt-neo-125M,1,128,0.05464816093444824
35,facebook/muppet-roberta-base,1,128,0.054463863372802734
36,funnel-transformer/medium-base,1,128,0.09086108207702637
37,funnel-transformer/small-base,1,128,0.0654754638671875
38,google/bigbird-roberta-base,1,128,0.1380157470703125
39,google/electra-base-discriminator,1,128,0.05698966979980469
40,google/mobilebert-uncased,1,128,0.05288243293762207
41,gpt2,1,128,0.05860567092895508
42,microsoft/deberta-v3-base,1,128,0.09097671508789062
43,roberta-base,1,128,0.055777549743652344
44,squeezebert/squeezebert-uncased,1,128,0.05292010307312012
45,albert-base-v2,1,256,0.0775904655456543
46,bert-base-uncased,1,256,0.07809066772460938
47,distilgpt2,1,256,0.0423126220703125
